Experiment ID                :  scheduler-gen
Problem Type                 :  SCHED
Representation               :  gen
Data Input File Name         :  ../testdata1
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  2
Min or Max Fitness           :  max
Crossover Type               :  4
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75800
Number of Genes/Points       :  35
Size of Genes                :  1
Number of Slots              :  35
Number of Monitors           :  7


 R   3 G 153      0   1578.264
 R   3 G 154      0   1423.507
 R   3 G 155      0   1508.821
 R   3 G 156    300   1667.598
 R   3 G 157    490   1581.641
 R   3 G 158    610   1708.966
 R   3 G 159    710   1882.458
 R   3 G 160    490   1636.784
 R   3 G 161    450    1722.72
 R   3 G 162    540   1499.924
 R   3 G 163    300   1544.416
 R   3 G 164    150   1589.406
 R   3 G 165    550   1485.512
 R   3 G 166    420   1645.028
 R   3 G 167      0   1731.826
 R   3 G 168      0   1586.314
 R   3 G 169    450   1631.902
 R   3 G 170    110   1602.552
 R   3 G 171      0   1561.745
 R   3 G 172    250   1672.537
 R   3 G 173     20   1645.658
 R   3 G 174    310   1651.495
 R   3 G 175    200   1610.787
 R   3 G 176    490   1558.123
 R   3 G 177    320   1754.358
 R   3 G 178    170   1600.856
 R   3 G 179      0   1681.214
 R   3 G 180      0   1593.577
 R   3 G 181      0   1547.359
 R   3 G 182    410   1543.263
 R   3 G 183    300   1505.267
 R   3 G 184    900   1530.403
 R   3 G 185    900   1776.864
 R   3 G 186    220   1346.712
 R   3 G 187    560   1373.555
 R   3 G 188    890   1498.734
 R   3 G 189    550   1444.382
 R   3 G 190    500   1471.634
 R   3 G 191    740   1649.739
 R   3 G 192   1500   1799.895
 R   3 G 193   1850    1674.01
 R   3 G 194   1310   1798.847
 R   3 G 195   1310   1751.973
 R   3 G 196   1360   1799.297
 R   3 G 197   1310   1813.754
 R   3 G 198   1390   1829.394
 R   3 G 199   1310   1847.287
3    193          *          *          C          *          C          F          *          C          E          B          G          B          E          *          *          F          *          *          B          *          *          *          *          D          D          *          *          *          F          G          B          *          F          *          *   RawFitness
                 -1         -1          2         -1          2          5         -1          2          4          1          6          1          4         -1         -1          5         -1         -1          1         -1         -1         -1         -1          3          3         -1         -1         -1          5          6          1         -1          5         -1         -1         1850

 R   4 G   0      0        0.0
 R   4 G   1      0     32.575
 R   4 G   2      0    124.456
 R   4 G   3      0    201.592
 R   4 G   4      0    214.523
 R   4 G   5      0    266.949
 R   4 G   6      0    261.187
 R   4 G   7      0    286.227
 R   4 G   8      0    313.264
 R   4 G   9      0    400.725
 R   4 G  10      0    332.608
 R   4 G  11      0      337.0
 R   4 G  12      0    349.488
 R   4 G  13      0    292.545
 R   4 G  14      0    453.427
 R   4 G  15      0     430.94
 R   4 G  16      0    370.561
 R   4 G  17      0    404.185
 R   4 G  18      0    444.154
 R   4 G  19      0    434.079
 R   4 G  20      0     498.25
 R   4 G  21      0    446.164
 R   4 G  22      0     467.17
 R   4 G  23      0    446.345
 R   4 G  24      0    463.057
 R   4 G  25      0    470.179
 R   4 G  26      0    482.711
 R   4 G  27      0    512.062
 R   4 G  28      0    508.381
 R   4 G  29      0    532.428
 R   4 G  30      0    566.565
 R   4 G  31      0    615.499
 R   4 G  32      0     599.87
 R   4 G  33      0    462.409
 R   4 G  34      0    425.237
 R   4 G  35      0    550.093
 R   4 G  36      0    553.601
 R   4 G  37      0    536.634
 R   4 G  38      0    587.359
 R   4 G  39      0    623.707
 R   4 G  40      0    573.866
 R   4 G  41      0     650.99
 R   4 G  42      0    716.932
 R   4 G  43      0    723.765
 R   4 G  44      0    767.202
 R   4 G  45      0    724.124
 R   4 G  46      0    632.624
 R   4 G  47      0    660.192
 R   4 G  48      0    753.522
 R   4 G  49      0    718.805
 R   4 G  50      0    784.064
 R   4 G  51      0    695.858
 R   4 G  52      0    640.472
 R   4 G  53      0    638.045
 R   4 G  54      0    699.875
 R   4 G  55      0    658.942
 R   4 G  56      0    777.041
 R   4 G  57      0    736.148
 R   4 G  58      0    724.355
 R   4 G  59      0    803.327
 R   4 G  60      0      670.4
 R   4 G  61      0    642.638
 R   4 G  62      0    759.576
 R   4 G  63      0    713.114
 R   4 G  64      0    718.702
 R   4 G  65      0    782.946
 R   4 G  66      0    927.828
 R   4 G  67      0     751.03
 R   4 G  68      0    680.263
 R   4 G  69      0    643.639
 R   4 G  70      0    672.184
 R   4 G  71      0    712.224
 R   4 G  72      0    765.768
 R   4 G  73      0     777.71
 R   4 G  74      0    735.153
 R   4 G  75      0    711.469
 R   4 G  76      0    743.494
 R   4 G  77      0    738.841
 R   4 G  78      0    762.967
 R   4 G  79      0    789.752
 R   4 G  80      0    781.247
 R   4 G  81      0    812.874
 R   4 G  82      0     743.64
 R   4 G  83      0    774.113
 R   4 G  84      0    874.687
 R   4 G  85      0    855.124
 R   4 G  86      0    726.642
 R   4 G  87      0    811.883
 R   4 G  88      0    816.451
 R   4 G  89      0     940.97
 R   4 G  90      0    973.331
 R   4 G  91      0    931.409
 R   4 G  92      0    890.208
 R   4 G  93      0   1002.352
 R   4 G  94      0   1036.045
 R   4 G  95      0   1050.345
 R   4 G  96      0   1004.934
 R   4 G  97      0   1164.657
 R   4 G  98      0   1156.631
 R   4 G  99      0   1071.613
 R   4 G 100      0   1058.282
 R   4 G 101      0   1015.642
 R   4 G 102      0   1141.752
 R   4 G 103      0   1134.072
 R   4 G 104      0   1124.119
 R   4 G 105      0   1206.454
 R   4 G 106      0    1043.45
 R   4 G 107      0   1145.017
 R   4 G 108      0   1169.352
 R   4 G 109      0   1113.556
 R   4 G 110      0   1107.021
 R   4 G 111      0   1104.045
 R   4 G 112      0   1071.776
 R   4 G 113      0   1029.223
 R   4 G 114      0   1056.718
 R   4 G 115      0    980.252
 R   4 G 116      0   1068.617
 R   4 G 117      0   1112.341
 R   4 G 118      0   1107.715
 R   4 G 119      0   1158.856
 R   4 G 120      0   1099.451
 R   4 G 121      0   1140.885
 R   4 G 122      0   1209.084
 R   4 G 123      0   1388.989
 R   4 G 124      0   1294.012
 R   4 G 125      0   1246.848
 R   4 G 126      0   1290.454
 R   4 G 127      0    1428.33
 R   4 G 128      0   1366.268
 R   4 G 129      0    1366.39
 R   4 G 130      0   1415.901
 R   4 G 131      0    1236.99
 R   4 G 132      0   1143.345
 R   4 G 133      0    1034.96
 R   4 G 134      0   1072.933
 R   4 G 135      0   1163.283
 R   4 G 136      0   1297.033
 R   4 G 137      0   1211.957
 R   4 G 138      0   1178.933
 R   4 G 139      0   1194.756
 R   4 G 140      0   1230.866
 R   4 G 141      0   1275.758
 R   4 G 142      0   1184.375
 R   4 G 143      0   1245.295
 R   4 G 144      0   1335.339
 R   4 G 145      0   1251.992
 R   4 G 146      0   1354.826
 R   4 G 147      0   1337.311
 R   4 G 148      0   1349.356
